genus,color
Tatumella,#89a731
Serratia,#ad9c31
Huaxiibacter,#7e97f4
Gibbsiella,#34ae92
Shewanella,#35aca4
Silvania,#f56ab4
Edwardsiella,#ec7e32
Citrobacter,#f66f94
Pectobacterium,#f7754f
Vibrio,#e06cf4
Enterobacter,#c29431
Gilliamella,#5caf31
Wolbachia,#36abaf
Bartonella,#ae88f4
Ehrlichia,#c27ff4
Anaplasma,#34ae8d
Neorickettsia,#38a8c5
Sphingomonas,#90a531
Acetobacter,#80a831
Brachybacterium,#d48c31
Thermoanaerobacterium,#39a6d7
Commensalibacter,#96a331
Novosphingobium,#9890f4
Orbus,#b79931
Thermohydrogenium,#37aab7
Pseudomonas,#f563d4
Gemella,#37aabb
Corynebacterium,#d673f4
Porticoccus,#f77462
Lachnoanaerobaculum,#32b071
Utexia,#36abab
Luteimonas,#35ada0
Cutibacterium,#34ad97
Neisseria,#6e9af4
Methylobacterium,#eb63f4
Thiomonas,#8c93f4
Ancylobacter,#38a7d0
Streptomyces,#c89231
Rhodococcus,#3ca1f4
Pedococcus,#f567c4
Lapillicoccus,#31b256
Dermacoccus,#f66d9c
Hyphomicrobium,#f461dd
Parasphingopyxis,#47b131
Pseudotabrizicola,#35aca7
Cypionkella,#e38431
Microbacterium,#f565cc
Acinetobacter,#32b165
Stenotrophomonas,#a89e31
Pseudoxanthomonas,#3ba3e8
Xanthomonas,#36abb3
Lysobacter,#f66ca5
Nitrosomonas,#cc79f4
Moraxella,#37a9c0
Cronobacter,#35ad9b
Psychrobacter,#3aa5de
Cereibacter,#ce8f31
Thiomicrorhabdus,#a38cf4
Pseudogemmobacter,#f77732
Haematospirillum,#9da131
NZ_CP046925.1,#38a8ca
NR_074500.2,#f67088
NR_074155.1,#34af88
NR_044431.1,#f66bad
NR_115082.1,#5a9ef4
NR_108191.1,#b883f4
NR_074513.2,#31b23e
NR_116261.1,#33b07a
NR_042559.1,#f6717d
NR_148800.1,#a2a031
NR_044747.1,#f45ee7
NR_121714.1,#bd9731
NR_118741.1,#6bac31
NR_044762.1,#33af81
NR_157649.1,#77aa31
NR_117161.1,#b29b31
NR_104808.1,#f568bc
NR_117160.1,#f77271
NR_025962.1,#f45bf1
NR_180115.1,#db8831
NR_074386.1,#a38cf4
NR_029162.1,#32b071
NR_044746.1,#31b23e
NR_148653.1,#36abab
NR_118489.1,#eb63f4
NR_037059.1,#f45bf1
NR_148331.1,#a89e31
NR_165010.1,#34ae8d
NR_121713.2,#f45ee7
NR_149242.1,#e06cf4
NR_164872.1,#9890f4
NR_175595.1,#8c93f4
NR_175594.1,#f77732
