dsim_gene_id	dsim_symbol	dsim_symbol_clean	dmel_gene_id	dmel_symbol	match_status
FBgn0012820	Dsim\Acp26Aa	Acp26Aa	FBgn0002855	Acp26Aa	matched
FBgn0012821	Dsim\Acp26Ab	Acp26Ab	FBgn0002856	Acp26Ab	matched
FBgn0012823	Dsim\Act88F	Act88F	FBgn0000047	Act88F	matched
FBgn0012824	Dsim\Adh	Adh	FBgn0000055	Adh	matched
FBgn0012825	Dsim\Adhr	Adhr	FBgn0000056	Adhr	matched
FBgn0012826	Dsim\Amy-d	Amy-d	FBgn0000078	Amy-d	matched
FBgn0012827	Dsim\Amy-p	Amy-p	FBgn0000079	Amy-p	matched
FBgn0012832	Dsim\Est-6	Est-6	FBgn0000592	Est-6	matched
FBgn0012837	Dsim\Gpdh	Gpdh			unmatched
FBgn0012838	Dsim\GstD1	GstD1	FBgn0001149	GstD1	matched
FBgn0012840	Dsim\Hsp83	Hsp83	FBgn0001233	Hsp83	matched
FBgn0012844	Dsim\Mlc1	Mlc1	FBgn0002772	Mlc1	matched
FBgn0012845	Dsim\MtnA	MtnA	FBgn0002868	MtnA	matched
FBgn0012846	Dsim\N	N	FBgn0004647	N	matched
FBgn0012849	Dsim\Pgd	Pgd	FBgn0004654	Pgd	matched
FBgn0012851	Dsim\Rdl	Rdl	FBgn0004244	Rdl	matched
FBgn0012854	Dsim\Sod	Sod			unmatched
FBgn0012859	Dsim\Yp2	Yp2	FBgn0005391	Yp2	matched
FBgn0012860	Dsim\Zw	Zw			unmatched
FBgn0012864	Dsim\bcd	bcd	FBgn0000166	bcd	matched
FBgn0012866	Dsim\ci	ci	FBgn0004859	ci	matched
FBgn0012868	Dsim\dec-1	dec-1			unmatched
FBgn0012892	Dsim\sala	sala	FBgn0003313	sala	matched
FBgn0012893	Dsim\sc	sc	FBgn0004170	sc	matched
FBgn0012901	Dsim\tra	tra	FBgn0003741	tra	matched
FBgn0012902	Dsim\w	w	FBgn0003996	w	matched
FBgn0012903	Dsim\y	y	FBgn0004034	y	matched
FBgn0012904	Dsim\z	z	FBgn0004050	z	matched
FBgn0013875	Dsim\Gld	Gld	FBgn0001112	Gld	matched
FBgn0013883	Dsim\ref(2)P	ref(2)P	FBgn0003231	ref(2)P	matched
FBgn0013884	Dsim\v	v	FBgn0003965	v	matched
FBgn0014814	Dsim\Dl	Dl			unmatched
FBgn0014820	Dsim\Ubx	Ubx	FBgn0003944	Ubx	matched
FBgn0015169	Dsim\r	r	FBgn0003189	r	matched
FBgn0015670	Dsim\Top2	Top2	FBgn0284220	Top2	matched
FBgn0015673	Dsim\dpp	dpp	FBgn0000490	dpp	matched
FBgn0016334	Dsim\Ddc	Ddc	FBgn0000422	Ddc	matched
FBgn0016340	Dsim\Lsp1gamma	Lsp1gamma	FBgn0002564	Lsp1gamma	matched
FBgn0016343	Dsim\Sxl	Sxl	FBgn0264270	Sxl	matched
FBgn0016346	Dsim\h	h			unmatched
FBgn0016348	Dsim\janA	janA	FBgn0001280	janA	matched
FBgn0016352	Dsim\run	run	FBgn0003300	run	matched
FBgn0016353	Dsim\ry	ry	FBgn0003308	ry	matched
FBgn0016355	Dsim\twi	twi	FBgn0003900	twi	matched
FBgn0018225	Dsim\up	up	FBgn0004169	up	matched
FBgn0018281	Dsim\ey	ey	FBgn0005558	ey	matched
FBgn0018282	Dsim\dy	dy	FBgn0004511	dy	matched
FBgn0018304	Dsim\amd	amd	FBgn0000075	amd	matched
FBgn0018327	Dsim\Acph-1	Acph-1	FBgn0000032	Acph-1	matched
FBgn0020076	Dsim\tim	tim	FBgn0014396	tim	matched
FBgn0020078	Dsim\boss	boss	FBgn0000206	boss	matched
FBgn0020081	Dsim\Sry-alpha	Sry-alpha	FBgn0003510	Sry-alpha	matched
FBgn0020697	Dsim\ftz	ftz	FBgn0001077	ftz	matched
FBgn0020700	Dsim\Men	Men	FBgn0002719	Men	matched
FBgn0021123	Dsim\Hex-C	Hex-C	FBgn0001187	Hex-C	matched
FBgn0021128	Dsim\Amyrel	Amyrel	FBgn0020506	Amyrel	matched
FBgn0021129	Dsim\Acp70A	Acp70A			unmatched
FBgn0022481	Dsim\Hsp70Ab	Hsp70Ab	FBgn0013276	Hsp70Ab	matched
FBgn0022482	Dsim\Hsp70Aa	Hsp70Aa	FBgn0013275	Hsp70Aa	matched
FBgn0022505	Dsim\Cat	Cat	FBgn0000261	Cat	matched
FBgn0022516	Dsim\Ace	Ace	FBgn0000024	Ace	matched
FBgn0022517	Dsim\ATPsyn-beta	ATPsyn-beta			unmatched
FBgn0024395	Dsim\Cyp4d2	Cyp4d2	FBgn0011576	Cyp4d2	matched
